id,isValid,raingage,SID,date,validRaingege
96,1,4.055102348,6000,6/24/17 2:29,4.055102348
97,1,4.094471931,6000,6/24/17 2:30,4.094471931
98,1,4.133841991,6000,6/24/17 2:33,4.133841991
99,1,4.173212051,6000,6/24/17 2:37,4.173212051
100,1,4.212581635,6000,6/24/17 2:44,4.212581635
101,1,4.251951694,6000,6/24/17 2:47,4.251951694
102,1,4.291321754,6000,6/24/17 2:50,4.291321754
103,1,4.330691814,6000,6/24/17 2:54,4.330691814
104,1,4.370061398,6000,6/24/17 2:58,4.370061398
105,1,4.409431458,6000,6/24/17 3:07,4.409431458
106,1,4.448801517,6000,6/24/17 3:20,4.448801517
107,1,4.488171101,6000,6/24/17 3:33,4.488171101
108,1,4.527541161,6000,6/24/17 3:53,4.527541161
109,1,4.566911221,6000,6/24/17 4:11,4.566911221
110,1,4.606281281,6000,6/24/17 4:23,4.606281281
111,1,4.645650864,6000,6/24/17 4:36,4.645650864
112,1,4.685020924,6000,6/24/17 4:54,4.685020924
113,1,4.724390984,6000,6/24/17 5:21,4.724390984
114,1,4.724390984,6000,6/24/17 6:17,4.724390984
115,1,4.724390984,6000,6/24/17 18:15,4.724390984
116,1,4.724390984,6000,6/25/17 6:13,4.724390984
117,1,4.724390984,6000,6/25/17 18:11,4.724390984
118,1,4.724390984,6000,6/26/17 6:09,4.724390984
119,1,4.724390984,6000,6/26/17 18:07,4.724390984
120,1,4.724390984,6000,6/27/17 6:05,4.724390984
121,0,55.59033203,6000,6/27/17 18:02,0
122,1,4.724390984,6000,6/27/17 18:03,4.724390984
123,1,4.724390984,6000,6/28/17 6:01,4.724390984
124,0,48.89744568,6000,6/28/17 15:31,0
125,1,4.724390984,6000,6/28/17 17:59,4.724390984
126,1,4.724390984,6000,6/29/17 5:57,4.724390984
127,0,70.86585999,6000,6/29/17 13:00,0
128,1,4.724390984,6000,6/29/17 17:55,4.724390984
129,1,4.724390984,6000,6/30/17 5:52,4.724390984
130,0,43.62187576,6000,6/30/17 11:58,0
131,1,4.724390984,6000,6/30/17 17:50,4.724390984
132,1,4.763760567,6000,7/1/17 1:03,4.763760567
133,1,4.803130627,6000,7/1/17 2:46,4.803130627
134,1,4.842500687,6000,7/1/17 4:06,4.842500687
